system:index,avg_rad,.geo
200_0,0.18371023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.06384938744425,5.755955182995835]}"
201_0,0.19433835,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.00383735218321,3.891950968447827]}"
202_0,1.8045924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.36316346583102,4.040172990327548]}"
203_0,3.4066603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.27046190279174,4.785774676146751]}"
204_0,0.22233525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.12960149195995,4.1075466366365125]}"
205_0,0.18223006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.91113578914393,5.531376361965954]}"
206_0,0.31647432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.85436683746943,4.004240378962767]}"
207_0,0.24197814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.70901485021705,5.0058619207560335]}"
208_0,0.52847445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.95605155334991,4.534246396593285]}"
209_0,0.31185535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.54444806444819,4.992387191494241]}"
210_0,0.25245252,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.14918933943561,5.190016554000536]}"
211_0,0.64702255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.5309733351864,5.023828226438424]}"
212_0,1.9680178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.23003771500636,4.835182016773325]}"
213_0,0.21000344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.01731208144501,4.898064086661691]}"
214_0,0.30942413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.53384336981374,5.324763846618464]}"
215_0,0.20966677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.53546491160701,5.549342667648344]}"
216_0,0.19320904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.70614481558971,4.911538815923484]}"
217_0,0.18156466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.83190895536644,5.410103798609819]}"
218_0,0.19733858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.3378355491007,4.134496095160098]}"
219_0,0.38145274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.62978801643955,4.386024374713564]}"
220_0,1.2371012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.01893362323828,4.974420885811851]}"
221_0,0.1966387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.22841617321309,4.287209693460417]}"
222_0,0.23646599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37663819509282,5.702056265948663]}"
223_0,1.7268281,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.57588909939238,5.077727143485595]}"
224_0,0.20655476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.79148476758107,5.459511139236392]}"
225_0,0.22032695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.53833494623433,5.198999706841731]}"
226_0,0.5045348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.45748657066358,4.130004518739501]}"
227_0,0.20372954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16104252690413,3.9683077675979863]}"
228_0,0.19379643,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.32273927804565,4.462381173863723]}"
229_0,0.939886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.15205937406294,5.7918877943606155]}"
230_0,0.7871545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.23452929142697,4.889080933820496]}"
231_0,0.4918599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.4170623828782,4.0087319553833645]}"
232_0,0.3326518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.31088609057711,5.558325820489539]}"
233_0,0.23093131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.7196195448515,4.570179007958066]}"
234_0,0.4357444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.50402387666281,4.11203821305711]}"
235_0,0.22301726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.05773626923039,5.028319802859022]}"
236_0,0.2869501,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.48892760560776,3.752712099409301]}"
237_0,0.21898055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.49054914740103,4.031189837486353]}"
238_0,0.9297834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.87969475419975,4.9474714272882645]}"
239_0,1.4289409,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.38275131330668,4.421956986078345]}"
